profession_code;profession_name;active;category;date_creation;date_creation_mistake;date_modify;date_modify_mistake;deleted;etks
271671;Тренер-инженер сборной команды;t;1;2015-04-21;0;2015-04-21;0;f;
174838;Протравщик шкурок;t;4;2015-04-21;0;2015-04-21;0;f;47
201486;Артист оркестра духового, народных инструментов, эстрадно-симфонического;t;2;2015-04-21;0;2015-04-21;0;f;
265064;Советник в аппарате Центральной избирательной комиссии Российской Федерации;t;2;2015-04-21;0;2015-04-21;0;f;
161973;Оператор электрогидравлической очистки отливок;t;2-4;2015-04-21;0;2015-04-21;0;f;2
217643;Диспетчер службы движения;t;2;2015-04-21;0;2015-04-21;0;f;
200623;Администратор;t;2;2015-04-21;0;2015-04-21;0;f;
127659;Классификаторщик дробленого камня;t;3;2015-04-21;0;2015-04-21;0;f;43
190563;Съемщик - укладчик в производстве стеновых и вяжущих материалов;t;1-4;2015-04-21;0;2015-04-21;0;f;42
332856;Лаборант-металлофизик;t;;2015-04-21;0;2015-04-21;0;f;73
259862;Радист - испытатель бортовой;t;2;2015-04-21;0;2015-04-21;0;f;
132093;Кружевница;t;1-6;2015-04-21;0;2015-04-21;0;f;47
239892;Мастер станции по освидетельствованию надувных спасательных средств и контрольно-измерительных приборов;t;1;2015-04-21;0;2015-04-21;0;f;
270664;Техник по стандартизации;t;2;2015-04-21;0;2015-04-21;0;f;
237882;Маркшейдер карьера, рудника, шахты;t;2;2015-04-21;0;2015-04-21;0;f;
237134;Лесничий (старший государственный инспектор по охране леса);t;2;2015-04-21;0;2015-04-21;0;f;
129461;Контролер газового хозяйства;t;3;2015-04-21;0;2015-04-21;0;f;69
262206;Руководитель творческой мастерской;t;1;2015-04-21;0;2015-04-21;0;f;
194422;Формовщик фарфоровых и фаянсовых изделий;t;1-5;2015-04-21;0;2015-04-21;0;f;45
192624;Уборщик территорий;t;1;2015-04-21;0;2015-04-21;0;f;1
189104;Судопропускник;t;3-4;2015-04-21;0;2015-04-21;0;f;56
260155;Ревизор по холодильному хозяйству;t;2;2015-04-21;0;2015-04-21;0;f;
332729;Лаборант-испытатель электровакуумных материалов и спаев;t;;2015-04-21;0;2015-04-21;0;f;73
173479;Проводник - электромонтер почтовых вагонов;t;3;2015-04-21;0;2015-04-21;0;f;56
199483;Эмальер;t;2-6;2015-04-21;0;2015-04-21;0;f;65
152735;Обработчик деталей, полуфабрикатов и изделий;t;;2015-04-21;0;2015-04-21;0;f;45
138884;Машинист микструдера;t;3-4;2015-04-21;0;2015-04-21;0;f;27
141995;Машинист смесителя асфальтобетона передвижного;t;6;2015-04-21;0;2015-04-21;0;f;3
129512;Контролер игольно-платинных изделий;t;2-5;2015-04-21;0;2015-04-21;0;f;11
149874;Наладчик сортировочных автоматов;t;4-5;2015-04-21;0;2015-04-21;0;f;2
114822;Волочильщик;t;2-5;2015-04-21;0;2015-04-21;0;f;2
159024;Оператор поточной линии подготовки основы искусственной кожи;t;3-4;2015-04-21;0;2015-04-21;0;f;35
445414;Начальник испытательной группы;t;1;2015-04-21;0;2015-04-21;0;f;
176763;Разрабатывальщик отходов;t;2-3;2015-04-21;0;2015-04-21;0;f;47
241727;Механик по буровым, горным работам;t;2;2015-04-21;0;2015-04-21;0;f;
123018;Изготовитель гипсовых бинтов;t;2;2015-04-21;0;2015-04-21;0;f;31
379693;Резчик фольги;t;;2015-04-21;0;2015-04-21;0;f;73
202464;Аэролог;t;2;2015-04-21;0;2015-04-21;0;f;
239680;Мастер промывочно-пропарочной станции (поезда, пункта);t;1;2015-04-21;0;2015-04-21;0;f;
171647;Приготовитель водорослевого порошка и крупки;t;3;2015-04-21;0;2015-04-21;0;f;54
269614;Техник бортовой;t;2;2015-04-21;0;2015-04-21;0;f;
301716;Аппаратчик газовых смесей;t;;2015-04-21;0;2015-04-21;0;f;73
178078;Расфасовщик алмазов и алмазных порошков;t;2-3;2015-04-21;0;2015-04-21;0;f;18
131461;Котельщик судовой;t;2-6;2015-04-21;0;2015-04-21;0;f;23
261701;Руководитель Пресс-службы;t;1;2015-04-21;0;2015-04-21;0;f;
228489;Инженер средств радио и телевидения;t;2;2015-04-21;0;2015-04-21;0;f;
222711;Заместитель Руководителя Аппарата Государственной Думы Федерального Собрания;t;1;2015-04-21;0;2015-04-21;0;f;
114875;Волочильщик цветных металлов;t;2-5;2015-04-21;0;2015-04-21;0;f;8
144279;Мездрильщик шкурок кроликов;t;3-4;2015-04-21;0;2015-04-21;0;f;52
127517;Кислотоупорщик-винипластчик;t;3-6;2015-04-21;0;2015-04-21;0;f;3
125691;Испытатель агрегатов, приборов и чувствительных элементов;t;2-6;2015-04-21;0;2015-04-21;0;f;22
137044;Машинист драги;t;3-6;2015-04-21;0;2015-04-21;0;f;4
136501;Машинист газогенераторной станции;t;2-4;2015-04-21;0;2015-04-21;0;f;1
260793;Репетитор по технике речи;t;2;2015-04-21;0;2015-04-21;0;f;
